Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
ЭА152-22 Ремонт кровли здания детского сада МБОУ №9 Звездочка;'223410504043141050100100070014391244';;;2768601.60;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 9 ""ЗВЕЗДОЧКА""";УПРАВЛЕНИЕ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ АДМИНИСТРАЦИИ ЕЛИЗОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА - МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ;25.05.2022;03.06.2022;NA
поставка бакалейной продукции;222650600309265060100102850010000244, 222650600642465060100100380010000244, 223650600760465060100100110010000244, 223650600762965060100100170010000244, 223650600766865060100100280010000244, 223650600772465060100100160010000244, 223650600793265060100100150010000244, 223650600796465060100100230010000244, 223650600813265060100100160010000244, 223650601002965060100100240010000244;;;1284020.92;RUB;NA;NA;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК САХАЛИНСКОЙ ОБЛАСТИ""";27.05.2022;06.06.2022;NA
Оказание услуг по организации горячего питания для лиц, содержащихся в Центре временного содержания иностранных граждан ОМВД России по г. Магадану в 2022 году;'221490904465149090100100040365629244';;;800000.00;RUB;NA;NA;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МАГАДАНУ;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МАГАДАНУ;30.05.2022;06.06.2022;NA
Оказание услуг по предоставлению места в линейно-кабельных сооружениях связи для размещения кабелей связи УМВД России по Хабаровскому краю.;'221272103115027210100100190018299244';;;19183067.74;RUB;NA;NA;УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАБАРОВСКОМУ КРАЮ;УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАБАРОВСКОМУ КРАЮ;26.05.2022;03.06.2022;NA
Поставка лекарственного препарата для медицинского применения Лозартан для обеспечения льготных категорий граждан Хабаровского края;'222272404126027210100103750012120244';;;141645.60;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;24.05.2022;02.06.2022;NA
Поставка лекарственного препарата для медицинского применения Натрия хлорид;'222270401810327040100100880032120244';;;576000.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""СОВЕТСКО-ГАВАНСКАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;24.05.2022;02.06.2022;NA
Оказание услуг по техническому обслуживанию прачечного оборудования;'222272500675827250100100790013312244';;;483750.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ ""АМУРСКИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ ""АМУРСКИЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;03.06.2022;NA
Выполнение работ по проектированию, капитальному ремонту и вводу в эксплуатацию объекта капитального строительства: «Капитальный ремонт общежития окружной больницы»;'222870901298887090100100260190000243';;;182226096.74;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА""";24.05.2022;03.06.2022;NA
Оказание услуг по адаптации и сопровождению экземпляров справочной правовой системы «КонсультантПлюс» на основе специального лицензионного программного обеспечения, обеспечивающего совместимость с установленными у Государственного заказчика экземплярами СПС «КонсультантПлюс»;'222254314612625400100100320016202244';;;386197.14;RUB;NA;NA;МИНИСТЕРСТВО ЛЕСНОГО ХОЗЯЙСТВА И ОХРАНЫ ОБЪЕКТОВ ЖИВОТНОГО МИРА ПРИМОРСКОГО КРАЯ;МИНИСТЕРСТВО ЛЕСНОГО ХОЗЯЙСТВА И ОХРАНЫ ОБЪЕКТОВ ЖИВОТНОГО МИРА ПРИМОРСКОГО КРАЯ;27.05.2022;06.06.2022;NA
"Приобретение оборудования для лаборатории ""Мир роботов"" МБОУ СОШ № 1 г. Александровск-Сахалинский";'223650200382465020100100220013240244';;;948385.43;RUB;NA;NA;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ  ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1;27.05.2022;06.06.2022;NA
Выполнение работ по ремонту и подготовке систем отопления к отопительному сезону 2022-2023 г.;'223270306097727030100100100014322244';;;542212.80;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ХОЗЯЙСТВЕННОГО ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ ГОРОДА КОМСОМОЛЬСКА-НА-АМУРЕ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ХОЗЯЙСТВЕННОГО ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ ГОРОДА КОМСОМОЛЬСКА-НА-АМУРЕ""";26.05.2022;03.06.2022;NA
Поставка лекарственных препаратов для медицинского применения;'222272702726327030100101080012120244';;;121142.75;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";26.05.2022;03.06.2022;NA
Поставка лакокрасочных материалов;'222272601107727030100102130032030244';;;90349.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА"" ИМЕНИ М.И. ШЕВЧУК МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА"" ИМЕНИ М.И. ШЕВЧУК МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;06.06.2022;NA
Поставка шлагбаума;'222272117164827210100101270012790244';;;167700.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ ПО Г. ХАБАРОВСКУ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНОЙ ПОДДЕРЖКИ НАСЕЛЕНИЯ ПО Г. ХАБАРОВСКУ""";26.05.2022;02.06.2022;NA
Поставка лакокрасочных материалов;'222272601107727030100102130042030244';;;90349.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА"" ИМЕНИ М.И. ШЕВЧУК МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ БОЛЬНИЦА"" ИМЕНИ М.И. ШЕВЧУК МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";27.05.2022;06.06.2022;NA
Подготовка проектов межевания территории г. Оха, кварталы 65:24:0000010, 65:24:0000011.;'223650600408965060100100050017111244';;;1938333.33;RUB;NA;NA;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ""ОХИНСКИЙ"" САХАЛИНСКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ";"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОЙ ОКРУГ ""ОХИНСКИЙ"" САХАЛИНСКОЙ ОБЛАСТИ РОССИЙСКОЙ ФЕДЕРАЦИИ";24.05.2022;02.06.2022;NA
На актуализацию текстовой информации в экземплярах Систем КонсультантПлюс и оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в Приморском территориальном управлении Федерального агентства по Рыболовству экземплярами Систем;'221253621251525360100100240020000242';;;313112.10;RUB;NA;NA;ПРИМОРСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ;ПРИМОРСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ;27.05.2022;06.06.2022;NA
На право заключения договора поставки оборудования;;1;Поставка оборудования;152000.00;RUB;NA;NA;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБНЕФТЬ - ЧУКОТКА""";;26.05.2022;02.06.2022;NA
Реагенты диагностические;'222410103609641010100100230012120244';;;134471.01;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 3""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ КАМЧАТСКОГО КРАЯ ""ПЕТРОПАВЛОВСК-КАМЧАТСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 3""";26.05.2022;03.06.2022;NA
Поставка моющих и чистящих средств;'222271900082127190100101020012041244';;;46654.75;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ ""АННЕНСКИЕ ВОДЫ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САНАТОРИЙ ""АННЕНСКИЕ ВОДЫ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";26.05.2022;03.06.2022;NA
Поставка комплекта покрышек;;1;Поставка комплекта покрышек;222315.68;RUB;NA;NA;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОРСКОЙ ОРДЕНА ""ЗНАК ПОЧЕТА"" ТОРГОВЫЙ ПОРТ ПЕВЕК""";;25.05.2022;06.06.2022;NA
Поставка изделий медицинского назначения стимулятор васкулогенеза;'222270201515327210100101010012110244';;;43425.06;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КОНСУЛЬТАТИВНО - ДИАГНОСТИЧЕСКИЙ ЦЕНТР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ ""ВИВЕЯ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КОНСУЛЬТАТИВНО - ДИАГНОСТИЧЕСКИЙ ЦЕНТР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ ""ВИВЕЯ""";27.05.2022;06.06.2022;NA
Обеспечение топливом и горюче-смазочными материалами в рамках государственного оборонного заказа (приобретение ГСМ);'221650800418065080100100180041920221';;;1511000.00;RUB;NA;NA;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО УГЛЕГОРСКОМУ ГОРОДСКОМУ ОКРУГУ;ОТДЕЛ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО УГЛЕГОРСКОМУ ГОРОДСКОМУ ОКРУГУ;27.05.2022;06.06.2022;NA
На право заключения договора поставки оборудования;;1;Поставка оборудования;185000.00;RUB;NA;NA;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБНЕФТЬ - ЧУКОТКА""";;23.05.2022;23.05.2022;NA
Медицинские изделия;'222252100001025210100100030290000244';;;85711.50;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАДЕЖДИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАДЕЖДИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";25.05.2022;03.06.2022;NA
Выполнение работ по разработке рабочей документации на капитальный ремонт сети ливневой канализации в районе домов № 9 стр. 4 по Народному проспекту-№ 107, по проспекту Красного Знамени на территории Владивостокского городского округа;'223253812893225360100100650017112243';;;729994.00;RUB;NA;NA;УПРАВЛЕНИЕ ДОРОГ АДМИНИСТРАЦИИ ГОРОДА ВЛАДИВОСТОКА;УПРАВЛЕНИЕ ДОРОГ АДМИНИСТРАЦИИ ГОРОДА ВЛАДИВОСТОКА;25.05.2022;02.06.2022;NA
поставка бумаги для офисной техники;'222650800407765080100102160021712244';;;99732.20;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""УГЛЕГОРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ ""УГЛЕГОРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";27.05.2022;06.06.2022;NA
Поставка МОЛОЧНЫХ ПРОДУКТОВ для нужд МАОУ СОШ № 2 г.Анива;;1;поставка молочной продукции для нужд МАОУ СОШ № 2 г.Анива;309400.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 Г.АНИВА""";;06.06.2022;;NA
